id,carat,cut,color,clarity,depth,table,x,y,z,price
3095,0.7,Ideal,G,SI2,62.6,55.0,5.66,5.69,3.55,2232
3096,0.44,Ideal,D,VS1,62.3,55.0,4.88,4.84,3.03,1294
3097,0.71,Ideal,F,VS1,60.8,56.0,5.81,5.82,3.54,3710
3098,0.71,Ideal,D,VS2,60.9,56.0,5.76,5.79,3.52,4029
3099,1.28,Premium,H,SI2,62.0,57.0,7.0,6.94,4.32,6164
3100,0.6,Premium,G,VVS2,59.7,60.0,5.55,5.5,3.3,2105
3101,0.4,Ideal,G,VS1,62.2,56.0,4.72,4.74,2.94,877
3102,1.01,Good,E,SI1,64.3,59.0,6.34,6.31,4.07,4853
3103,0.51,Premium,E,SI1,61.0,58.0,5.13,5.1,3.12,1443
3104,0.9,Ideal,H,VS1,61.8,56.0,6.18,6.24,3.84,4194
3105,1.66,Ideal,H,VS1,62.0,55.0,7.61,7.67,4.74,15210
3106,0.47,Ideal,H,SI1,61.1,55.0,5.04,5.07,3.09,787
3107,1.16,Ideal,J,IF,60.6,56.0,6.79,6.86,4.14,5519
3108,0.58,Ideal,G,SI2,61.5,55.0,5.38,5.42,3.32,1276
3109,0.5,Ideal,E,VS2,62.1,54.0,5.13,5.11,3.18,1746
3110,1.21,Ideal,H,VS1,62.0,57.0,6.79,6.75,4.19,5902
3111,0.51,Premium,E,SI1,61.2,61.0,5.16,5.13,3.15,1402
3112,1.34,Ideal,G,VS1,62.7,57.0,7.04,7.1,4.43,9890
3113,0.31,Very Good,H,VVS2,61.9,58.0,4.3,4.33,2.67,625
3114,0.31,Premium,H,VVS1,61.8,59.0,4.32,4.36,2.68,612
3115,0.98,Fair,G,I1,68.0,63.0,6.13,6.02,4.13,1749
3116,0.33,Ideal,G,VVS2,63.0,57.0,4.42,4.38,2.77,965
3117,0.4,Good,F,VS2,64.1,56.0,4.65,4.71,3.0,723
3118,1.27,Premium,H,SI1,60.2,58.0,7.04,6.99,4.22,6892
3119,1.51,Good,G,VS2,63.7,57.0,7.21,7.18,4.58,9741
3120,2.36,Ideal,J,VS2,60.1,59.0,8.64,8.69,5.21,17534
3121,0.4,Premium,J,IF,62.2,61.0,4.71,4.68,2.92,1063
3122,0.32,Premium,G,VVS1,62.6,58.0,4.41,4.38,2.75,1080
3123,1.3,Very Good,H,SI1,63.4,57.0,6.93,6.88,4.38,6307
3124,0.23,Premium,D,VVS2,58.9,60.0,4.03,3.95,2.35,688
3125,0.43,Premium,G,VVS2,62.3,60.0,4.85,4.78,3.0,1129
3126,0.42,Premium,E,SI1,62.8,59.0,4.78,4.74,2.99,992
3127,0.34,Ideal,G,VS2,61.4,57.0,4.51,4.48,2.76,765
3128,1.01,Very Good,H,SI1,63.1,60.0,6.41,6.37,4.03,4513
3129,1.07,Ideal,I,VS1,62.0,57.0,6.5,6.56,4.05,5207
3130,1.52,Good,J,VS2,63.5,58.0,7.24,7.28,4.61,7370
3131,1.01,Ideal,H,SI1,61.0,56.0,6.48,6.43,3.94,5062
3132,0.71,Premium,E,VS2,62.3,58.0,5.71,5.66,3.54,2823
3133,0.32,Ideal,E,VVS2,61.2,56.0,4.39,4.43,2.7,816
3134,0.71,Very Good,E,SI1,62.9,57.0,5.66,5.7,3.57,2573
3135,0.33,Premium,E,VS2,60.6,60.0,4.43,4.48,2.7,723
3136,1.3,Ideal,I,VS1,62.1,57.0,7.04,6.98,4.35,6931
3137,0.74,Ideal,F,VS2,60.5,59.0,5.81,5.86,3.53,2936
3138,1.02,Ideal,D,SI1,61.2,56.0,6.51,6.56,4.0,6040
3139,1.74,Ideal,J,SI1,62.1,54.0,7.73,7.69,4.79,9208
3140,0.27,Ideal,E,VVS2,61.8,57.0,4.16,4.12,2.56,799
3141,1.11,Ideal,H,SI2,61.3,55.0,6.65,6.73,4.1,4578
3142,1.21,Ideal,J,VS2,62.6,54.2,6.79,6.81,4.26,5275
3143,0.4,Premium,E,VS2,62.2,58.0,4.72,4.67,2.92,975
3144,1.4,Ideal,H,SI2,61.2,56.0,7.18,7.23,4.41,7084
3145,0.43,Ideal,D,VS2,61.8,56.0,4.83,4.81,2.98,1129
3146,0.84,Very Good,D,VS1,60.1,58.0,6.12,6.15,3.69,4869
3147,0.31,Ideal,G,VVS1,62.5,54.0,4.34,4.37,2.72,789
3148,0.92,Ideal,G,VS2,62.6,56.0,6.2,6.17,3.87,4405
3149,0.7,Premium,E,SI1,61.0,57.0,5.73,5.68,3.48,2777
3150,0.7,Ideal,D,SI1,62.5,57.0,5.62,5.59,3.51,2822
3151,1.01,Fair,F,VS2,64.8,56.0,6.3,6.25,4.07,4791
3152,0.35,Ideal,E,VS1,61.6,55.1,4.54,4.58,2.81,771
3153,0.36,Ideal,I,VS2,61.8,55.0,4.6,4.63,2.85,523
3154,0.58,Premium,G,VVS2,61.4,61.0,5.43,5.38,3.32,1975
3155,0.33,Premium,E,VS2,60.6,60.0,4.48,4.43,2.7,928
3156,0.71,Premium,G,VS2,63.0,54.0,5.69,5.64,3.57,2443
3157,0.26,Ideal,H,SI1,62.2,54.0,4.1,4.13,2.56,397
3158,0.3,Ideal,E,VVS2,61.7,57.0,4.34,4.31,2.67,1013
3159,0.58,Ideal,E,VS2,61.7,57.0,5.35,5.42,3.32,1683
3160,0.9,Ideal,F,SI1,61.3,56.0,6.21,6.23,3.81,4724
3161,1.16,Premium,H,SI1,61.2,57.0,6.84,6.76,4.16,5554
3162,0.35,Premium,E,VVS1,60.7,59.0,4.58,4.55,2.77,1116
3163,2.01,Premium,H,VS2,60.1,61.0,8.14,8.06,4.87,17068
3164,2.06,Premium,H,SI2,62.6,58.0,8.06,8.03,5.04,12931
3165,0.3,Ideal,E,VVS1,62.8,54.0,4.27,4.3,2.69,838
3166,0.7,Very Good,E,VS2,63.5,54.0,5.62,5.66,3.58,2889
3167,2.27,Ideal,I,SI2,60.5,55.0,8.63,8.53,5.19,12939
3168,0.9,Good,E,SI1,63.1,61.0,6.14,6.18,3.89,4165
3169,0.64,Premium,D,SI1,62.3,58.0,5.53,5.49,3.43,2074
3170,0.41,Ideal,F,SI1,61.4,56.0,4.77,4.8,2.94,824
3171,1.01,Premium,H,VS1,61.2,61.0,6.44,6.41,3.93,5294
3172,0.52,Ideal,E,SI1,63.0,54.0,5.15,5.11,3.23,1429
3173,0.5,Ideal,E,VS2,62.1,55.0,5.11,5.13,3.18,1554
3174,0.3,Ideal,I,VS1,62.2,53.9,4.29,4.33,2.68,486
3175,0.3,Premium,D,SI1,62.2,58.0,4.28,4.31,2.67,552
3176,0.6,Premium,E,VS2,62.7,58.0,5.37,5.34,3.36,1915
3177,1.12,Ideal,H,SI1,62.0,57.0,6.69,6.64,4.13,5363
3178,0.56,Very Good,H,SI1,59.9,60.0,5.3,5.35,3.19,1230
3179,1.57,Ideal,I,VS2,62.8,57.0,7.46,7.37,4.66,10462
3180,0.3,Premium,D,SI2,60.9,58.0,4.29,4.32,2.62,447
3181,0.9,Premium,F,SI1,59.9,59.0,6.29,6.26,3.76,4158
3182,2.08,Premium,I,SI2,60.8,61.0,8.24,8.21,5.0,14047
3183,0.38,Premium,D,SI1,59.7,60.0,4.69,4.66,2.79,941
3184,0.7,Premium,G,VS1,59.3,62.0,5.8,5.74,3.42,2496
3185,0.86,Ideal,E,SI2,61.8,57.0,6.1,6.13,3.78,3828
3186,0.9,Ideal,F,SI2,61.9,57.0,6.13,6.18,3.81,4593
3187,0.38,Ideal,F,VS1,61.5,55.0,4.68,4.69,2.88,988
3188,0.32,Ideal,G,VVS1,61.4,55.0,4.42,4.44,2.72,842
3189,1.14,Ideal,H,SI1,61.6,57.0,6.7,6.75,4.14,5003
3190,1.15,Premium,H,SI1,62.0,58.0,6.77,6.66,4.16,5506
3191,0.71,Premium,D,SI1,61.4,58.0,5.79,5.75,3.54,2863
3192,0.58,Ideal,G,IF,60.9,57.0,5.39,5.46,3.3,2508
3193,0.31,Ideal,E,SI1,62.4,57.0,4.34,4.31,2.7,698
3194,0.3,Ideal,D,VS2,62.3,54.0,4.34,4.29,2.69,911
3195,0.32,Premium,G,SI2,62.3,58.0,4.42,4.37,2.74,540
3196,0.26,Very Good,E,VS2,60.4,58.0,4.15,4.19,2.52,452
3197,0.32,Good,G,VS2,56.7,64.0,4.52,4.55,2.57,603
3198,0.76,Ideal,H,VS1,61.6,56.0,5.85,5.9,3.62,3424
3199,0.23,Ideal,E,VS2,62.6,57.0,3.92,3.88,2.44,543
3200,1.51,Fair,G,VS2,56.0,65.0,7.68,7.57,4.27,8794
3201,1.01,Ideal,G,SI1,62.3,57.0,6.41,6.36,3.98,4694
3202,0.38,Premium,F,SI1,62.7,58.0,4.62,4.6,2.89,898
3203,0.78,Ideal,J,VS1,61.4,57.0,5.9,5.93,3.63,2426
3204,0.63,Very Good,H,VS2,61.2,59.2,5.48,5.51,3.36,1640
3205,0.33,Premium,G,VS1,62.3,58.0,4.41,4.45,2.76,666
3206,0.31,Premium,G,SI1,58.8,62.0,4.42,4.39,2.59,593
3207,1.1,Very Good,E,SI2,63.3,56.0,6.58,6.53,4.15,4140
3208,0.7,Good,D,VS1,60.4,63.0,5.68,5.74,3.45,3193
3209,0.56,Premium,F,I1,62.6,60.0,5.3,5.15,3.27,953
3210,0.38,Ideal,F,VVS2,60.8,58.0,4.69,4.72,2.86,963
3211,0.31,Ideal,H,VVS1,61.5,56.0,4.34,4.38,2.68,707
3212,0.9,Very Good,I,VS2,63.4,57.0,6.07,6.1,3.86,3489
3213,0.9,Very Good,H,SI2,61.1,63.0,6.19,6.12,3.76,3105
3214,0.3,Premium,H,VS1,62.3,58.0,4.28,4.26,2.66,675
3215,0.71,Premium,I,SI1,61.7,56.0,5.73,5.71,3.53,1774
3216,0.9,Ideal,H,VS1,61.2,57.0,6.28,6.24,3.83,4064
3217,0.51,Ideal,D,VS1,60.9,57.0,5.2,5.17,3.16,1845
3218,1.18,Ideal,I,VS1,62.6,55.0,6.79,6.73,4.24,6661
3219,1.0,Good,H,SI1,63.7,55.0,6.33,6.29,4.02,4200
3220,0.41,Ideal,G,VVS1,61.7,55.0,4.77,4.79,2.95,1151
3221,1.02,Premium,F,SI1,61.4,58.0,6.48,6.41,3.96,5369
3222,1.18,Ideal,F,VVS2,60.6,55.0,6.84,6.88,4.16,11415
3223,1.01,Good,H,SI1,63.4,59.0,6.28,6.34,4.0,4749
3224,0.31,Ideal,G,VS2,62.2,54.0,4.38,4.4,2.73,562
3225,0.52,Ideal,D,VS2,61.4,56.0,5.16,5.19,3.18,1664
3226,1.2,Very Good,E,VVS2,63.2,56.0,6.73,6.78,4.27,11456
3227,1.21,Very Good,G,VVS2,60.4,56.0,6.96,6.91,4.19,9878
3228,0.42,Ideal,G,IF,61.6,56.0,4.85,4.86,2.99,1400
3229,0.74,Very Good,J,VS2,60.8,58.0,5.79,5.85,3.54,2003
3230,0.34,Ideal,G,VS2,61.5,55.0,4.5,4.47,2.76,765
3231,0.9,Very Good,I,VS1,62.0,61.0,6.12,6.18,3.81,3880
3232,0.7,Ideal,E,SI1,62.6,55.0,5.62,5.66,3.53,2656
3233,0.33,Premium,H,IF,61.7,59.0,4.45,4.43,2.74,1010
3234,0.8,Ideal,D,VS2,61.3,56.0,5.97,6.0,3.67,4781
3235,0.85,Ideal,E,SI2,60.7,55.0,6.14,6.19,3.74,3441
3236,0.54,Very Good,D,SI1,63.2,55.0,5.21,5.17,3.28,1667
3237,0.52,Very Good,D,SI2,62.9,56.0,5.14,5.17,3.24,1289
3238,0.38,Ideal,F,SI1,61.8,55.0,4.66,4.69,2.89,640
3239,0.32,Ideal,G,VVS2,61.7,57.0,4.41,4.44,2.73,730
3240,1.25,Premium,G,VS2,61.9,58.0,6.91,6.85,4.26,8064
3241,1.13,Ideal,D,VVS2,60.1,57.0,6.78,6.83,4.09,12150
3242,1.0,Good,F,VS2,63.1,57.0,6.32,6.36,4.0,6223
3243,1.08,Ideal,G,VS1,61.4,56.0,6.59,6.63,4.06,7551
3244,0.41,Premium,F,VVS2,62.4,58.0,4.7,4.76,2.95,1115
3245,1.01,Very Good,D,SI2,59.9,61.0,6.46,6.5,3.88,5252
3246,0.54,Ideal,G,VVS2,61.5,54.0,5.24,5.26,3.23,1985
3247,0.27,Premium,F,IF,61.7,57.0,4.21,4.12,2.57,820
3248,1.02,Premium,H,SI2,62.6,58.0,6.44,6.4,4.02,4798
3249,1.22,Ideal,J,VS1,61.4,58.0,6.85,6.87,4.21,6201
3250,0.7,Good,H,VVS2,58.9,61.5,5.77,5.84,3.42,2699
3251,1.13,Premium,I,SI1,61.8,59.0,6.65,6.68,4.12,4536
3252,0.96,Premium,G,SI1,62.0,57.0,6.34,6.31,3.92,3355
3253,0.71,Good,I,VS1,63.3,56.0,5.65,5.69,3.59,2306
3254,1.01,Good,G,VS1,63.7,57.0,6.32,6.37,4.04,6499
3255,1.2,Very Good,H,SI1,63.3,57.0,6.75,6.7,4.26,5114
3256,2.01,Fair,H,SI2,65.9,57.0,7.8,7.74,5.12,12617
3257,0.41,Very Good,D,VVS2,62.5,54.0,4.79,4.81,3.0,1160
3258,1.01,Very Good,F,VVS2,62.5,63.0,6.41,6.38,4.0,7715
3259,0.9,Very Good,H,SI2,64.1,59.0,5.97,6.07,3.86,3255
3260,0.31,Ideal,G,VS2,60.8,56.0,4.4,4.42,2.68,500
3261,0.57,Ideal,G,VS1,61.3,56.0,5.36,5.34,3.28,1949
3262,0.39,Ideal,I,IF,62.3,54.0,4.69,4.71,2.93,895
3263,1.37,Premium,J,SI2,61.9,59.0,7.1,7.05,4.38,5284
3264,0.9,Good,F,SI2,63.2,59.0,6.06,6.13,3.85,3116
3265,0.56,Ideal,G,IF,61.7,55.0,5.29,5.34,3.28,2298
3266,1.29,Very Good,D,VVS1,60.8,55.0,7.03,7.12,4.3,17932
3267,1.02,Premium,D,VS2,62.5,58.0,6.4,6.37,3.99,7643
3268,1.0,Very Good,F,VS2,61.9,59.0,6.34,6.38,3.94,5505
3269,0.39,Ideal,E,VVS2,62.1,54.6,4.67,4.7,2.91,1100
3270,0.54,Ideal,G,VVS2,62.4,53.4,5.22,5.25,3.26,1962
3271,1.03,Very Good,F,SI2,60.2,55.0,6.53,6.59,3.95,3903
3272,1.05,Ideal,G,VS1,61.1,56.0,6.54,6.59,4.01,7523
3273,0.34,Premium,H,VS1,61.6,59.0,4.54,4.49,2.78,765
3274,0.37,Premium,G,IF,59.8,58.0,4.71,4.69,2.81,1064
3275,2.01,Ideal,H,SI1,59.3,58.0,8.25,8.19,4.87,17403
3276,1.0,Very Good,H,VS2,63.3,53.0,0.0,0.0,0.0,5139
3277,0.9,Very Good,G,SI1,62.6,60.0,6.09,6.14,3.83,3919
3278,0.53,Ideal,G,VVS2,60.4,56.0,5.29,5.24,3.18,1818
3279,0.32,Very Good,D,SI1,62.3,55.0,4.38,4.42,2.74,589
3280,0.9,Very Good,G,SI2,62.0,59.0,6.14,6.19,3.82,3445
3281,1.33,Premium,H,VS2,60.7,59.0,7.08,7.13,4.31,7982
3282,0.7,Premium,D,SI2,59.5,60.0,5.78,5.73,3.43,2423
3283,0.42,Ideal,E,VVS2,61.8,56.0,4.8,4.78,2.96,1273
3284,1.51,Very Good,G,SI1,63.4,58.0,7.19,7.3,4.59,9664
3285,0.96,Fair,G,SI1,69.7,59.0,6.09,5.9,4.18,3299
3286,0.26,Very Good,F,SI1,61.3,55.0,4.15,4.21,2.56,401
3287,0.33,Premium,G,VS1,62.2,58.0,4.39,4.42,2.74,666
3288,0.33,Ideal,E,VS2,62.1,57.0,4.44,4.41,2.75,928
3289,0.74,Good,D,SI1,63.1,59.0,5.71,5.74,3.61,2753
3290,0.32,Ideal,G,VS2,61.8,55.0,4.42,4.41,2.73,720
3291,1.0,Fair,H,SI2,65.3,62.0,6.34,6.12,4.08,2818
3292,0.71,Ideal,I,SI1,62.5,57.0,5.69,5.74,3.57,2218
3293,0.7,Very Good,E,SI1,62.7,59.0,5.63,5.67,3.54,2753
3294,0.52,Very Good,E,VS2,62.8,55.0,5.11,5.15,3.22,1621
3295,1.0,Very Good,G,VS2,60.0,55.0,6.41,6.52,3.88,5385
3296,0.32,Ideal,G,VVS1,61.2,55.0,4.41,4.44,2.71,814
3297,1.51,Very Good,J,VS2,59.7,59.0,7.51,7.47,4.47,8735
3298,2.22,Ideal,J,SI2,62.8,57.0,8.33,8.29,5.22,13703
3299,1.52,Premium,J,VS1,62.0,59.0,7.36,7.34,4.56,8258
3300,1.01,Premium,F,SI2,61.1,57.0,6.48,6.44,3.95,3903
3301,1.5,Very Good,I,VS2,63.0,57.0,7.2,7.25,4.55,8662
3302,0.79,Ideal,G,SI1,62.3,57.0,5.9,5.85,3.66,2898
3303,0.77,Good,E,VS2,63.4,57.0,5.8,5.84,3.69,3291
3304,1.26,Premium,J,VS2,62.0,60.0,7.0,6.86,4.3,5173
3305,0.91,Good,E,I1,57.7,63.0,6.3,6.35,3.65,2225
3306,0.34,Very Good,D,SI1,59.6,61.0,4.5,4.53,2.69,626
3307,1.1,Ideal,I,SI1,62.1,57.0,6.6,6.64,4.11,5037
3308,1.06,Very Good,I,SI1,60.4,59.0,6.56,6.61,3.98,4267
3309,1.0,Fair,F,VS1,65.0,59.0,6.19,6.14,4.01,6115
3310,0.97,Fair,F,SI1,56.4,66.0,6.59,6.54,3.7,4063
3311,1.11,Premium,I,VS2,58.3,60.0,6.84,6.78,3.97,4744
3312,1.21,Very Good,I,SI1,62.8,57.0,6.73,6.8,4.25,5346
3313,1.02,Premium,G,SI1,60.7,60.0,6.51,6.48,3.94,4855
3314,1.52,Ideal,F,SI1,62.0,54.0,7.44,7.36,4.59,12182
3315,0.23,Ideal,H,VS1,61.2,55.0,3.94,3.97,2.42,423
3316,0.32,Very Good,D,SI1,62.6,58.0,4.33,4.36,2.72,589
3317,0.32,Very Good,H,SI1,63.1,58.0,4.36,4.33,2.74,591
3318,0.5,Ideal,D,VS1,61.6,57.0,5.09,5.13,3.15,1923
3319,1.2,Good,F,VS1,64.0,56.0,6.63,6.58,4.23,6209
3320,1.51,Premium,E,VS1,62.7,58.0,7.33,7.25,4.57,16669
3321,1.01,Good,E,SI1,63.3,57.0,6.33,6.37,4.02,4692
3322,0.3,Ideal,I,VVS2,62.0,56.0,4.29,4.32,2.67,515
3323,0.51,Ideal,F,VS2,61.9,55.0,5.11,5.15,3.18,1591
3324,0.38,Premium,E,VS2,62.2,59.0,4.67,4.63,2.89,1112
3325,0.31,Premium,G,VS1,59.5,59.0,4.47,4.4,2.64,802
3326,2.22,Premium,J,VS1,60.0,60.0,8.49,8.43,5.08,18706
3327,0.42,Ideal,G,VVS2,62.3,53.0,4.83,4.86,3.02,961
3328,0.42,Ideal,G,VVS2,60.7,55.0,4.89,4.86,2.96,1103
3329,1.0,Good,H,VS1,60.1,62.0,6.38,6.47,3.86,5743
3330,2.01,Good,E,SI1,58.7,59.0,8.23,8.27,4.84,18027
3331,1.01,Premium,I,SI2,62.6,58.0,6.43,6.38,4.01,3818
3332,1.59,Premium,H,VVS2,63.0,58.0,7.48,7.43,4.7,12409
3333,0.54,Ideal,E,VVS2,61.9,54.5,5.22,5.25,3.23,2479
3334,1.34,Premium,G,SI2,61.7,58.0,7.1,7.04,4.36,6583
3335,0.92,Premium,E,SI2,61.8,59.0,6.19,6.11,3.8,3679
3336,1.29,Ideal,G,VS2,62.9,57.0,6.91,6.89,4.34,7080
3337,1.04,Very Good,F,SI1,62.9,54.0,6.46,6.49,4.07,5525
3338,0.5,Premium,D,SI1,60.7,61.0,5.12,5.09,3.1,1654
3339,1.36,Very Good,D,VVS2,62.6,58.0,7.06,7.21,4.47,14236
3340,0.7,Good,D,SI2,59.3,64.0,5.8,5.76,3.43,2312
3341,0.41,Premium,D,SI2,62.3,58.0,4.77,4.74,2.96,876
3342,0.38,Ideal,F,VS2,61.2,57.0,4.64,4.67,2.85,693
3343,0.43,Ideal,G,IF,62.4,54.0,4.84,4.87,3.03,1318
3344,0.51,Good,E,SI1,63.9,54.0,5.09,5.05,3.24,1443
3345,0.32,Ideal,E,VVS2,62.3,56.0,4.4,4.37,2.73,1080
3346,0.42,Ideal,E,VS2,60.9,57.0,4.85,4.87,2.96,902
3347,1.01,Good,E,VVS2,63.3,55.0,6.36,6.41,4.04,8976
3348,0.4,Ideal,E,VS2,62.2,56.0,4.74,4.72,2.94,975
3349,1.0,Very Good,E,VS1,62.3,53.0,6.35,6.39,3.97,7528
3350,1.01,Fair,F,SI2,65.3,59.0,6.28,6.24,4.09,4317
3351,0.4,Good,F,VVS1,63.3,57.0,4.68,4.7,2.97,1145
3352,0.5,Ideal,D,VS2,61.2,55.0,5.12,5.07,3.12,1808
3353,0.3,Ideal,F,VS1,61.0,56.0,4.37,4.35,2.66,731
3354,1.0,Premium,G,VS1,62.3,58.0,6.39,6.3,3.95,6290
3355,1.02,Premium,G,VS2,60.5,54.0,6.57,6.48,3.95,6169
3356,0.26,Ideal,G,IF,60.8,56.0,4.11,4.15,2.51,648
3357,0.92,Ideal,E,SI1,61.0,55.0,6.27,6.25,3.82,4791
3358,0.58,Very Good,D,SI1,63.5,58.0,5.29,5.32,3.37,1720
3359,0.57,Ideal,G,VVS1,60.9,56.0,5.37,5.41,3.28,2612
3360,0.31,Ideal,G,VS2,61.1,57.0,4.37,4.4,2.68,562
3361,0.71,Very Good,J,VS2,62.6,57.0,5.64,5.7,3.55,1626
3362,1.12,Premium,F,SI2,60.5,59.0,6.73,6.79,4.09,4570
3363,1.0,Good,G,VS2,56.7,62.0,6.64,6.59,3.75,4838
3364,0.53,Ideal,H,IF,62.0,54.0,5.19,5.23,3.23,1920
3365,0.91,Very Good,D,SI1,60.2,60.0,6.22,6.27,3.76,4466
3366,0.46,Ideal,E,VVS1,62.6,57.0,4.98,4.89,3.09,1661
3367,1.0,Fair,E,SI1,66.3,62.0,6.27,6.06,4.09,4140
3368,1.53,Ideal,G,SI1,62.4,57.0,7.33,7.41,4.6,11230
3369,2.13,Ideal,J,VS2,62.1,55.0,8.23,8.29,5.13,15258
3370,0.38,Ideal,E,SI1,62.3,53.0,4.65,4.69,2.91,660
3371,2.01,Good,E,SI2,63.1,58.0,7.89,8.01,5.02,15255
3372,1.01,Very Good,E,SI1,61.0,56.0,6.47,6.54,3.97,4399
3373,1.32,Ideal,I,VS1,61.2,57.0,7.06,7.12,4.34,7480
3374,0.4,Ideal,E,VS1,61.2,55.0,4.79,4.76,2.92,1005
3375,1.5,Premium,G,SI1,60.0,61.0,7.48,7.43,4.47,9954
3376,0.32,Very Good,D,SI1,63.3,57.0,4.39,4.36,2.77,756
3377,0.7,Very Good,J,SI1,61.7,57.0,5.65,5.69,3.5,1979
3378,1.36,Premium,H,SI2,60.1,56.0,7.23,7.18,4.38,5103
3379,1.56,Ideal,G,VVS2,62.5,55.0,7.39,7.45,4.64,15609
3380,0.25,Ideal,F,VS2,62.9,55.0,4.01,4.05,2.53,535
3381,0.3,Very Good,G,IF,62.9,58.0,4.21,4.25,2.66,895
3382,0.71,Good,F,VS2,63.8,58.0,5.61,5.64,3.59,2777
3383,0.33,Premium,G,VS1,61.6,58.0,4.39,4.44,2.72,666
3384,1.03,Ideal,G,SI1,61.6,55.0,6.48,6.52,4.0,5518
3385,1.24,Premium,D,SI2,59.1,59.0,7.03,6.98,4.14,5969
3386,1.2,Fair,H,SI2,64.8,60.0,6.55,6.59,4.26,4916
3387,1.05,Ideal,G,VS2,61.9,56.0,6.56,6.52,4.05,6604
3388,1.02,Ideal,E,SI1,60.4,55.0,6.54,6.48,3.93,5278
3389,1.05,Premium,G,SI1,59.1,57.0,6.73,6.63,3.95,4510
3390,1.16,Ideal,H,VS1,62.4,56.0,6.71,6.73,4.19,7175
3391,1.75,Ideal,G,SI2,61.6,54.8,7.73,7.78,4.78,11576
3392,1.0,Good,I,VS2,62.6,59.0,6.28,6.33,3.95,4081
3393,1.01,Ideal,J,SI1,62.9,56.0,6.4,6.35,4.01,3818
3394,0.64,Good,E,SI2,56.6,59.0,5.77,5.74,3.26,1080
3395,2.01,Good,H,SI2,62.3,60.0,7.95,7.97,4.96,14426
3396,0.57,Ideal,E,VS1,61.3,57.0,5.34,5.37,3.28,2110
3397,0.3,Ideal,F,IF,60.7,56.0,4.35,4.38,2.65,1131
3398,0.39,Premium,G,VS2,61.2,60.0,4.73,4.68,2.88,1009
3399,0.9,Very Good,D,SI1,61.6,54.0,6.18,6.25,3.83,3880
3400,1.0,Premium,F,VS1,62.7,55.0,6.39,6.34,3.99,7056
3401,0.23,Very Good,F,VVS2,63.1,56.0,3.93,3.96,2.49,472
3402,0.35,Premium,F,VS2,62.1,60.0,4.51,4.45,2.78,906
3403,0.34,Good,I,VVS2,63.1,56.0,4.43,4.47,2.81,596
3404,0.35,Ideal,F,VS2,62.1,57.0,4.53,4.55,2.82,706
3405,0.6,Very Good,D,SI1,60.3,58.0,5.44,5.51,3.3,1777
3406,0.52,Ideal,D,VVS1,60.9,56.0,5.2,5.24,3.18,3321
3407,1.66,Good,F,I1,62.1,57.7,7.56,7.6,4.71,6025
3408,0.73,Ideal,E,SI2,61.8,58.0,5.77,5.81,3.58,2805
3409,0.24,Ideal,G,IF,61.3,57.0,4.0,4.03,2.46,559
3410,2.0,Premium,H,SI2,62.5,58.0,8.14,8.03,5.05,12940
3411,0.73,Ideal,E,SI1,61.4,58.0,5.76,5.8,3.55,2914
3412,2.01,Good,F,SI2,62.9,58.0,7.89,8.01,5.0,16013
3413,1.0,Very Good,G,SI1,62.6,57.0,6.31,6.37,3.97,4413
3414,1.19,Fair,H,I1,65.1,59.0,6.62,6.55,4.29,2892
3415,0.57,Ideal,E,VS2,60.4,57.0,5.4,5.36,3.25,1819
3416,0.32,Ideal,H,VS1,61.5,57.0,4.4,4.42,2.71,561
3417,0.3,Premium,G,SI1,61.4,57.0,4.35,4.31,2.66,574
3418,1.07,Very Good,D,VS1,59.9,55.0,6.69,6.71,4.01,9681
3419,0.78,Premium,F,SI1,62.4,58.0,5.83,5.8,3.63,2777
3420,0.31,Ideal,G,VVS2,62.7,57.0,4.34,4.31,2.71,907
3421,1.0,Fair,F,SI2,65.7,61.0,6.13,6.11,4.02,3443
3422,0.41,Very Good,D,SI1,64.1,54.0,4.72,4.74,3.03,689
3423,0.6,Very Good,E,SI1,63.2,56.0,5.38,5.32,3.38,1836
3424,2.16,Premium,I,SI1,58.5,60.0,8.54,8.49,4.98,17934
3425,1.09,Ideal,H,VS2,62.9,58.0,6.56,6.51,4.11,6453
3426,1.09,Ideal,F,SI2,61.2,57.0,6.64,6.6,4.05,4981
3427,0.35,Ideal,D,VVS1,61.5,57.0,4.52,4.55,2.79,1167
3428,1.34,Very Good,G,SI2,62.2,56.0,7.0,7.08,4.38,6463
3429,1.01,Premium,D,VS2,61.0,59.0,6.44,6.41,3.92,6827
3430,0.74,Premium,F,SI2,59.2,60.0,5.96,5.9,3.51,2383
3431,0.9,Good,F,I1,64.3,58.0,6.09,6.05,3.9,2143
3432,1.0,Premium,D,SI2,60.8,60.0,6.45,6.41,3.91,4295
3433,0.36,Premium,F,SI1,62.3,59.0,4.5,4.56,2.82,600
3434,0.33,Ideal,H,VS2,60.7,57.0,4.48,4.45,2.71,668
3435,0.91,Good,E,SI1,63.5,57.0,6.07,6.11,3.87,4211
3436,0.97,Ideal,G,SI2,62.7,57.0,6.31,6.28,3.95,4101
3437,0.3,Ideal,I,VS1,62.5,54.0,4.3,4.34,2.7,457
3438,0.54,Good,H,VS2,63.2,55.0,5.2,5.24,3.3,1338
3439,2.5,Fair,H,SI2,64.9,58.0,8.46,8.43,5.48,13278
3440,0.46,Good,E,SI1,63.7,58.0,4.84,4.9,3.1,891
